Findings,Descrptions,Solutions
All connections should be TLS,"Whenever an application provides TLS, all connections should be TLS otherwise the encryption will be lost.","Whenever an application provides TLS, all connections should be TLS otherwise the encryption will be lost."
Log TLS connection failures,Failing TLS connections should always be logged. This is a great indicator that ''something'' is wrong.,Failing TLS connections should always be logged. This is a great indicator that ''something'' is wrong.
Content type headers,"Setting the right content headers is important for hardening your applications security, this reduces exposure to driveby download attacks or sites serving user uploaded content that, by clever naming could be treated by MS Internet Explorer as executable or dynamic HTML files and thus can lead to security vulnerabilities.","Setting the right content headers is important for hardening your applications security, this reduces exposure to driveby download attacks or sites serving user uploaded content that, by clever naming could be treated by MS Internet Explorer as executable or dynamic HTML files and thus can lead to security vulnerabilities."
Malicious intent,Before pushing a code live you should check the software for malicious code in order to make sure no developers with evil intent made backdoors or deliberately put in exploits.  Dependencies and third party libraries should also be validated against malicious code. These depedencies and libraries should also be validated for known vulnerabilities (CVE),Before pushing a code live you should check the software for malicious code in order to make sure no developers with evil intent made backdoors or deliberately put in exploits.  Dependencies and third party libraries should also be validated against malicious code. These depedencies and libraries should also be validated for known vulnerabilities (CVE)
Sandboxing,"A sandbox is a security mechanism for separating running programs. It is often used to execute untested code, or untrusted programs from unverified third parties, suppliers, untrusted users and untrusted websites. It''s creating an extra layer of security where an attacker first needs to break out from.","A sandbox is a security mechanism for separating running programs. It is often used to execute untested code, or untrusted programs from unverified third parties, suppliers, untrusted users and untrusted websites. It''s creating an extra layer of security where an attacker first needs to break out from."
Repudiation attack,"A repudiation attack happens when an application or system does not adopt controls to properly track and log users actions, thus permitting malicious manipulation or forging the identification of new actions. This attack can be used to change the authoring information of actions executed by a malicious user in order to log wrong data to log files. Its usage can be extended to general data manipulation in the name of others, in a similar manner as spoofing mail messages. If this attack takes place, the data stored in log files can be considered invalid or misleading.","A repudiation attack happens when an application or system does not adopt controls to properly track and log users actions, thus permitting malicious manipulation or forging the identification of new actions. This attack can be used to change the authoring information of actions executed by a malicious user in order to log wrong data to log files. Its usage can be extended to general data manipulation in the name of others, in a similar manner as spoofing mail messages. If this attack takes place, the data stored in log files can be considered invalid or misleading."
Server side validation,Validation of user supplied input must always be enforced on the server side. Whenever validation of the input is being perfomed on the client side then the constraints can easilly be bypassed whenever an attacker uses an intercepting proxy which he can use to tamper data after they have been validated and send to the server.   Or the attacker can simply change the constraint on the client side in his browser to bypass the  constraints.,Validation of user supplied input must always be enforced on the server side. Whenever validation of the input is being perfomed on the client side then the constraints can easilly be bypassed whenever an attacker uses an intercepting proxy which he can use to tamper data after they have been validated and send to the server.   Or the attacker can simply change the constraint on the client side in his browser to bypass the  constraints.
Privilege escalation,Attackers with low access rights wil always try to elevate their privileges in order to get more sensitive information/functionalities at their disposal. This can be achieved by for example:    Functions that fail to check authorization   Compromised functions/services that run with higher privileges   Compromised user accounts with higher privileges  These examples just scratch the surface of what attackers will try in order to elevate their privilages on your application/system. Therefore it is very important to take this reccomendation high into account.,Attackers with low access rights wil always try to elevate their privileges in order to get more sensitive information/functionalities at their disposal. This can be achieved by for example:    Functions that fail to check authorization   Compromised functions/services that run with higher privileges   Compromised user accounts with higher privileges  These examples just scratch the surface of what attackers will try in order to elevate their privilages on your application/system. Therefore it is very important to take this reccomendation high into account.
Enforce sequential step order,"Whenever a functionality consists out of following several steps to achieve some goal i.e,  User adds items to chart > User enters shipping information > User pays for goods > Items will be shipped. You want to make sure the user can not skip the payment step in order to receive his goods.","Whenever a functionality consists out of following several steps to achieve some goal i.e,  User adds items to chart > User enters shipping information > User pays for goods > Items will be shipped. You want to make sure the user can not skip the payment step in order to receive his goods."
Step up or adaptive authentication,Whenever a user browses a section of a webbased application that contains sensitive information the user should be challenged authenticate again using a higher assurance credential to be granted access to this information. This is to prevent attackers from reading sensitive information after they successfully hijacked a user account.,Whenever a user browses a section of a webbased application that contains sensitive information the user should be challenged authenticate again using a higher assurance credential to be granted access to this information. This is to prevent attackers from reading sensitive information after they successfully hijacked a user account.
Cross origin resource sharing,"Cross Origin Resource Sharing or CORS is a mechanism that enables a web browser to perform ''crossdomain'' requests using the XMLHttpRequest L2 API in a controlled manner. In the past, the XMLHttpRequest L1 API only allowed requests to be sent within the same origin as it was restricted by the same origin policy.","Cross Origin Resource Sharing or CORS is a mechanism that enables a web browser to perform ''crossdomain'' requests using the XMLHttpRequest L2 API in a controlled manner. In the past, the XMLHttpRequest L1 API only allowed requests to be sent within the same origin as it was restricted by the same origin policy."
Prevent password pre filling,"Passwords should never be stored plaintext or in a reversible format on the application. Whenever an attacker hacks  into the applications SQL database the passwords are directly compromised. In the case of prefilled forms in the application, an attacker could also hijack the credentials by badly configured CORS rules or XSS attacks.","Passwords should never be stored plaintext or in a reversible format on the application. Whenever an attacker hacks  into the applications SQL database the passwords are directly compromised. In the case of prefilled forms in the application, an attacker could also hijack the credentials by badly configured CORS rules or XSS attacks."
All authentication controls must fail securely,"Handling errors securely is a key aspect of secure coding. There are two types of errors that deserve special attention. The first is exceptions that occur in the processing of a security control itself. It''s important that these exceptions do not enable behavior that the countermeasure would normally not allow. As a developer, you should consider that there are generally three possible outcomes from a security mechanism:  1. Allow the operation 2. Disallow the operation 3. Exception  In general, you should design your security mechanism so that a failure will follow the same execution path as disabling the operation","Handling errors securely is a key aspect of secure coding. There are two types of errors that deserve special attention. The first is exceptions that occur in the processing of a security control itself. It''s important that these exceptions do not enable behavior that the countermeasure would normally not allow. As a developer, you should consider that there are generally three possible outcomes from a security mechanism:  1. Allow the operation 2. Disallow the operation 3. Exception  In general, you should design your security mechanism so that a failure will follow the same execution path as disabling the operation"
Forget password functions,"Verify the system can protect against aggregation or continuous access of secured functions, resources, or data. For example, possibly by the use of a resource governor to limit the number of edits per hour or to prevent the entire database from being scraped by an individual user.","Verify the system can protect against aggregation or continuous access of secured functions, resources, or data. For example, possibly by the use of a resource governor to limit the number of edits per hour or to prevent the entire database from being scraped by an individual user."
Canonicalized user input,Whenever userinput is partially validated there is a high probability that the application misses a malicious input which could execute a successful attack on your application.,Whenever userinput is partially validated there is a high probability that the application misses a malicious input which could execute a successful attack on your application.
Approved random number generator,"The lack of entropy available for, or used by, a pseudorandom number generator can be a stability and security threat.","The lack of entropy available for, or used by, a pseudorandom number generator can be a stability and security threat."
Validated cryptographic modules,The National Institute of Standards and Technology (NIST) issued the FIPS 140 Publication Series to coordinate the requirements and standards for cryptography modules that include both hardware and software components. Protection of a cryptographic module within a security system is necessary to maintain the confidentiality and integrity of the information protected by the module.,The National Institute of Standards and Technology (NIST) issued the FIPS 140 Publication Series to coordinate the requirements and standards for cryptography modules that include both hardware and software components. Protection of a cryptographic module within a security system is necessary to maintain the confidentiality and integrity of the information protected by the module.
Policy for managing cryptographic keys,"When there is no policy for managing your cryptographic keys, expired or revoked keys that could unknowingly be used again thus becoming a threat for your encrypted data.","When there is no policy for managing your cryptographic keys, expired or revoked keys that could unknowingly be used again thus becoming a threat for your encrypted data."
HTTPS and weakly or unencrypted links,Imagine the scenario where you have a login form and an application which supports HTTPS. Whenever the initial connection (login.php) is not HTTPS and after login (loggedin.php) will be HTTPS the username and password will not be sent through an encrypted manner thus could be easily compromised by attackers. This principle also applies to sending vulnerable data towards other unencrypted/weak encrypted links in your application.,Imagine the scenario where you have a login form and an application which supports HTTPS. Whenever the initial connection (login.php) is not HTTPS and after login (loggedin.php) will be HTTPS the username and password will not be sent through an encrypted manner thus could be easily compromised by attackers. This principle also applies to sending vulnerable data towards other unencrypted/weak encrypted links in your application.
Error handling on trusted devices,Whenever error handling is not applied through trusted devices the errors it supplies can not be trusted since they can be tampered with.,Whenever error handling is not applied through trusted devices the errors it supplies can not be trusted since they can be tampered with.
Single application level logging,"Whenever the application contains a single applicationlevel logging implementation it becomes clear, transparent and easy to maintain. It also reduces the possibility that you overlook high priority logging.","Whenever the application contains a single applicationlevel logging implementation it becomes clear, transparent and easy to maintain. It also reduces the possibility that you overlook high priority logging."
Aggregate user requests,"Verify the system can protect against aggregation or continuous access to functions,   resources, or data. For example, possibly by the use of a resource governor to limit the number of edits per minute in order to to prevent an automatic attack","Verify the system can protect against aggregation or continuous access to functions,   resources, or data. For example, possibly by the use of a resource governor to limit the number of edits per minute in order to to prevent an automatic attack"
Principle of least privilege,"The principle of least privilege recommends that accounts have the least amount of privilege required to perform their business processes. This encompasses user rights, resource permissions such as CPU limits, memory, network, and file system permissions.","The principle of least privilege recommends that accounts have the least amount of privilege required to perform their business processes. This encompasses user rights, resource permissions such as CPU limits, memory, network, and file system permissions."
TLS implementation must operate in an approved mode of operation,To enforce the maximum amount of security out of the TLS implementation it should always suffice the approved mode of operation.,To enforce the maximum amount of security out of the TLS implementation it should always suffice the approved mode of operation.
Character encoding,"Character encoding is the process of mapping characters, numbers and other symbols to a standard format. Typically, this is done to create a message ready for transmission between sender and receiver. It is, in simple terms, the conversion of characters (belonging to different languages like English, Chinese, Greek or any other known language) into bytes. An example of a widely used character encoding scheme is the American Standard Code for Information Interchange (ASCII) that initially used 7bit codes. More recent examples of encoding schemes would be the Unicode UTF8 and UTF16 computing industry standards. In the space of application security and due to the plethora of encoding schemes available, character encoding has a popular misuse. It is being used for encoding malicious injection strings in a way that obfuscates them. This can lead to the bypass of input validation filters, or take advantage of particular ways in which browsers render encoded text.","Character encoding is the process of mapping characters, numbers and other symbols to a standard format. Typically, this is done to create a message ready for transmission between sender and receiver. It is, in simple terms, the conversion of characters (belonging to different languages like English, Chinese, Greek or any other known language) into bytes. An example of a widely used character encoding scheme is the American Standard Code for Information Interchange (ASCII) that initially used 7bit codes. More recent examples of encoding schemes would be the Unicode UTF8 and UTF16 computing industry standards. In the space of application security and due to the plethora of encoding schemes available, character encoding has a popular misuse. It is being used for encoding malicious injection strings in a way that obfuscates them. This can lead to the bypass of input validation filters, or take advantage of particular ways in which browsers render encoded text."
HTTP request methods,"HTTP offers a number of methods that can be used to perform actions on the web server. Many of these methods are designed to aid developers in deploying and testing HTTP applications. These HTTP methods can be used for nefarious purposes if the web server is misconfigured. It recommended to read about the different available methods, their purposes and limitations.  Available method are:  GET The GET method requests a representation of the specified resource. Requests using GET should only retrieve data and should have no other effect. (This is also true of some other HTTP methods.)[1] The W3C has published guidance principles on this distinction, saying, ""Web application design should be informed by the above principles, but also by the relevant limitations.  HEAD The HEAD method asks for a response identical to that of a GET request, but without the response body. This is useful for retrieving metainformation written in response headers, without having to transport the entire content.  POST The POST method requests that the server accept the entity enclosed in the request as a new subordinate of the web resource identified by the URI. The data POSTed might be, for example, an annotation for existing resources; a message for a bulletin board, newsgroup, mailing list, or comment thread; a block of data that is the result of submitting a web form to a datahandling process; or an item to add to a database.","HTTP offers a number of methods that can be used to perform actions on the web server. Many of these methods are designed to aid developers in deploying and testing HTTP applications. These HTTP methods can be used for nefarious purposes if the web server is misconfigured. It recommended to read about the different available methods, their purposes and limitations.  Available method are:  GET The GET method requests a representation of the specified resource. Requests using GET should only retrieve data and should have no other effect. (This is also true of some other HTTP methods.)[1] The W3C has published guidance principles on this distinction, saying, ""Web application design should be informed by the above principles, but also by the relevant limitations.  HEAD The HEAD method asks for a response identical to that of a GET request, but without the response body. This is useful for retrieving metainformation written in response headers, without having to transport the entire content.  POST The POST method requests that the server accept the entity enclosed in the request as a new subordinate of the web resource identified by the URI. The data POSTed might be, for example, an annotation for existing resources; a message for a bulletin board, newsgroup, mailing list, or comment thread; a block of data that is the result of submitting a web form to a datahandling process; or an item to add to a database."
Verbose version information,Revealing system data or debugging information helps an adversary learn about the system and form a plan of attack. An information leak occurs when system data or debugging information leaves the program through an output stream or logging function.,Revealing system data or debugging information helps an adversary learn about the system and form a plan of attack. An information leak occurs when system data or debugging information leaves the program through an output stream or logging function.
HTTP headers added by a frontend,"There are some kind of headers that uses tokens such as Bearer or JWT which are signed or calculated using a key, by the server that creates it.","There are some kind of headers that uses tokens such as Bearer or JWT which are signed or calculated using a key, by the server that creates it."
Session management control,The ability to restrict and maintain user actions within unique sessions is critical to web security. Most users of this guide will be using an application framework with built in session management capabilities. Others will use languages such as Perl CGI that do not. Those without a built in session management system and those who override the existing session management systems are at an immediate disadvantage. Implementations built from scratch are often weak and breakable. Developers are strongly discouraged from implementing their own Session Management.,The ability to restrict and maintain user actions within unique sessions is critical to web security. Most users of this guide will be using an application framework with built in session management capabilities. Others will use languages such as Perl CGI that do not. Those without a built in session management system and those who override the existing session management systems are at an immediate disadvantage. Implementations built from scratch are often weak and breakable. Developers are strongly discouraged from implementing their own Session Management.
Available log analysis tools,"With a log analysis tool in place, you can easily and quickly do forensics as soon as you notice your application is under attack by attackers and block them out.","With a log analysis tool in place, you can easily and quickly do forensics as soon as you notice your application is under attack by attackers and block them out."
Distinguish log,Whenever log fields are distinguished from each other by means of logs from trusted and untrusted log fields in your log entries your logs become clearer and more transparent.,Whenever log fields are distinguished from each other by means of logs from trusted and untrusted log fields in your log entries your logs become clearer and more transparent.
Sanitise sensitive data rapidly from memory,"Whenever sensitive data is rapidly removed from the systems’ memory, this decreases the possibility the attacker has to compromise this data by means of memory dumping attacks.","Whenever sensitive data is rapidly removed from the systems’ memory, this decreases the possibility the attacker has to compromise this data by means of memory dumping attacks."
Logging is performed before executing the transaction,"Whenever the logging is performed before executing a transaction you can be ensured that the transactions are logged. This increases the integrity of your log files. If logging is performed after executing a transaction and an attacker does a succcessful attack, then the logging part may not be reached and no trace would be recorded for the attack.","Whenever the logging is performed before executing a transaction you can be ensured that the transactions are logged. This increases the integrity of your log files. If logging is performed after executing a transaction and an attacker does a succcessful attack, then the logging part may not be reached and no trace would be recorded for the attack."
Verify integrity using checksums,"Always use checksums when working with interpreted code, libraries, executables, and configuration files, when these checksums do not match you can determine that these files are corrupted or backdoored.","Always use checksums when working with interpreted code, libraries, executables, and configuration files, when these checksums do not match you can determine that these files are corrupted or backdoored."
Deny access from remote resources or systems,You should always fend off remote connections with untrusted systems/resources which try to connect to your application in order to prevent connecting to malicious systems that try to attack your application.,You should always fend off remote connections with untrusted systems/resources which try to connect to your application in order to prevent connecting to malicious systems that try to attack your application.
Certificate paths revocation information,Whenever your certificate authority is not trusted anymore you should always be able to recall these certificates ASAP to prevent man in the middle attacks on your applications users.,Whenever your certificate authority is not trusted anymore you should always be able to recall these certificates ASAP to prevent man in the middle attacks on your applications users.
HTML Caching and client side caching,"Developers creating HTML5 applications can create fully offlineaware applications using the HTML5 ApplicationCache interface. The Application Cache uses a cache manifest file to specify which files in an HTML5 application can be used offline, and which files require a network connection.","Developers creating HTML5 applications can create fully offlineaware applications using the HTML5 ApplicationCache interface. The Application Cache uses a cache manifest file to specify which files in an HTML5 application can be used offline, and which files require a network connection."
Cryptographic modules should operate in their approved mode according to their published security policies,Whenever cryptographic modules do not operate in their approved mode according to their published security policies these methods could become weak and become inadequate to ensure strong ciphers.,Whenever cryptographic modules do not operate in their approved mode according to their published security policies these methods could become weak and become inadequate to ensure strong ciphers.
Sending data parameters to untrusted devices,Whenever an application sends data/parameters to untrusted devices this data could be compromised if the device has malicious intents.,Whenever an application sends data/parameters to untrusted devices this data could be compromised if the device has malicious intents.
Proces high value business logic flows in a trusted environment,Whenever highvalue business logic flows are processed in a trusted monitored environment it reduces the movability of an attacker and chances of succeeding to perform successful attacks. If an attacker should breach your application his actions could be rapidly followed and countermeasures could be taken.,Whenever highvalue business logic flows are processed in a trusted monitored environment it reduces the movability of an attacker and chances of succeeding to perform successful attacks. If an attacker should breach your application his actions could be rapidly followed and countermeasures could be taken.
Data from untrusted sources,Always enforce multiple layers of security whenever you want to protect sensitive data/files on your application. If one layer should fail the other layers should prevent the attackers from succeeding.,Always enforce multiple layers of security whenever you want to protect sensitive data/files on your application. If one layer should fail the other layers should prevent the attackers from succeeding.
Runtime environment,Whenever you use runtime environments you want to make sure these are not susceptible for buffer overflows since this could lead to compromise of your application.,Whenever you use runtime environments you want to make sure these are not susceptible for buffer overflows since this could lead to compromise of your application.
Automatic parameter binding,"If the application framework allows automatic mass parameter assignment (also called automatic variable binding) from the inbound request to a model, verify that security sensitive fields such as ''accountBalance'', ''role'' or ''password'' are protected from malicious automatic binding. Whenever your application takes parameters in HTTPs GET statement and passes them as variables to code within the application this could become a safety hazard since the application processes these variables in his operations.","If the application framework allows automatic mass parameter assignment (also called automatic variable binding) from the inbound request to a model, verify that security sensitive fields such as ''accountBalance'', ''role'' or ''password'' are protected from malicious automatic binding. Whenever your application takes parameters in HTTPs GET statement and passes them as variables to code within the application this could become a safety hazard since the application processes these variables in his operations."
Cryptographic function implementation,Whenever a cryptographic function is not implemented on the server side then these cryptographic functions could easily be bypassed by an attacker.,Whenever a cryptographic function is not implemented on the server side then these cryptographic functions could easily be bypassed by an attacker.
Cryptographic modules must fail securely,Whenever a cryptographic module does not fail securely this the device needs to be put in error state so it''s not useable anymore.,Whenever a cryptographic module does not fail securely this the device needs to be put in error state so it''s not useable anymore.
Access to any master secret must be protected from unauthorized access,Access to any master secret must be protected from unauthorized access in order to protect the integrity and the confidentiality of the data.,Access to any master secret must be protected from unauthorized access in order to protect the integrity and the confidentiality of the data.
Enforce policys for sensitive data processing,When you process data you should always enforce policies for the transfer of sensitive data in order to enforce a higher level of security imposing structured thresholds to fend off attackers.,When you process data you should always enforce policies for the transfer of sensitive data in order to enforce a higher level of security imposing structured thresholds to fend off attackers.
Access control pattern,For successful access control/login functionality there are a lot of things to take into consideration before you start developing this type of functionality.,For successful access control/login functionality there are a lot of things to take into consideration before you start developing this type of functionality.
Password forget pattern,Whenever you are implementing a forgot password function into your system there are a few things you need to take into consideration in order to prevent security flaws in your application.  1. Forget password functions 2. Denial of service by locking out accounts 3. Username enumeration 4. Does The application enforce the use of secure passwords 5. Disallow the use of old passwords,Whenever you are implementing a forgot password function into your system there are a few things you need to take into consideration in order to prevent security flaws in your application.  1. Forget password functions 2. Denial of service by locking out accounts 3. Username enumeration 4. Does The application enforce the use of secure passwords 5. Disallow the use of old passwords
Sessions pattern,"When working with sessions there are a couple of things you need to consider in order to implement them securely throughout your system. For more detailed information about these items you should check the knowledgebase about: 1. Session management control 2. Session cookies without the Secure flag 3. Session cookies without the HTTP Only flag 4. External session hijacking 5. Insecure transmission of session cookies 6. Session information is not stored server side 7. Session ids should be generated with sufficient entropy, the preferred method is the frameworks default session management control implementation is used by the application 8. User generated session ids should be rejected by the server 9. The logout functionality should revoke the complete session 10. The login functionality should always generate (and use) a new session id 11. Session IDs do not timeout.(idle) 12. Absolute session timed out 13. Verify that the session id is never disclosed 14. Session cookies (Domain)","When working with sessions there are a couple of things you need to consider in order to implement them securely throughout your system. For more detailed information about these items you should check the knowledgebase about: 1. Session management control 2. Session cookies without the Secure flag 3. Session cookies without the HTTP Only flag 4. External session hijacking 5. Insecure transmission of session cookies 6. Session information is not stored server side 7. Session ids should be generated with sufficient entropy, the preferred method is the frameworks default session management control implementation is used by the application 8. User generated session ids should be rejected by the server 9. The logout functionality should revoke the complete session 10. The login functionality should always generate (and use) a new session id 11. Session IDs do not timeout.(idle) 12. Absolute session timed out 13. Verify that the session id is never disclosed 14. Session cookies (Domain)"
Submit forms pattern,Whenever a user can submit a form in your system you should consider implementing the following defense mechanism in order to ensure highlevel security.  1.  Single user input validation controls and Audit logs 2.  CSRF tokens 3.  Principle of least privilege 4.  GET/POST requests,Whenever a user can submit a form in your system you should consider implementing the following defense mechanism in order to ensure highlevel security.  1.  Single user input validation controls and Audit logs 2.  CSRF tokens 3.  Principle of least privilege 4.  GET/POST requests
SQL injection Column truncation,"Whenever an applications structural logic mismatches with the database structural logic an attacker gains the opportunity to truncate his submit towards your database column by submitting a value longer than the limit allowed in the database. Imagine you have a system where users can register themselves.  The attacker can abuse this behavior of the database to overflow the length limit and truncate his submit and register himself as the admin, thus gaining its privileges.","Whenever an applications structural logic mismatches with the database structural logic an attacker gains the opportunity to truncate his submit towards your database column by submitting a value longer than the limit allowed in the database. Imagine you have a system where users can register themselves.  The attacker can abuse this behavior of the database to overflow the length limit and truncate his submit and register himself as the admin, thus gaining its privileges."
User registration pattern,"Whenever you allow users to register on your system there are a couple of things you need to take into consideration in order to enforce a high level of security For more detailed information about these items you should check the knowledgebase about:  1. Column Truncation SQL injection(for MySQL databases) 2. Single input validation controls 3. Audit logs 4. Prevent password leaking 5. Predictable password and or token generation 6. Are all passwords hashed, salted and stretched 7. Does the application enforce the use of secure passwords?","Whenever you allow users to register on your system there are a couple of things you need to take into consideration in order to enforce a high level of security For more detailed information about these items you should check the knowledgebase about:  1. Column Truncation SQL injection(for MySQL databases) 2. Single input validation controls 3. Audit logs 4. Prevent password leaking 5. Predictable password and or token generation 6. Are all passwords hashed, salted and stretched 7. Does the application enforce the use of secure passwords?"
Cross subdomain cookie attack,"A quick overview of how it works:  1. A website www.example.com hands out subdomains to untrusted third parties 2. One such party, Mallory, who now controls evil.example.com, lures Alice to her site 3. A visit to evil.example.com sets a session cookie with the domain .example.com on Alice''s browser 4. When Alice visits www.example.com, this cookie will be sent with the request, as the specs for cookies states, and Alice will have the session specified by Mallory''s cookie. 5. Mallory can now use Alice her account.","A quick overview of how it works:  1. A website www.example.com hands out subdomains to untrusted third parties 2. One such party, Mallory, who now controls evil.example.com, lures Alice to her site 3. A visit to evil.example.com sets a session cookie with the domain .example.com on Alice''s browser 4. When Alice visits www.example.com, this cookie will be sent with the request, as the specs for cookies states, and Alice will have the session specified by Mallory''s cookie. 5. Mallory can now use Alice her account."
HTML injections,Whenever an attacker can inject HTML in your application there is a variety of different attacks he could perform such as:  1. Content Spoofing 2. Image Tag Injection   3. Form Rerouting 4. Base Jumping 5. Element Override 6. Hanging Textarea  Even when your application intercepts XSS injections by means of a content security policy header it still remains vulnerable to the attacks summarized above.,Whenever an attacker can inject HTML in your application there is a variety of different attacks he could perform such as:  1. Content Spoofing 2. Image Tag Injection   3. Form Rerouting 4. Base Jumping 5. Element Override 6. Hanging Textarea  Even when your application intercepts XSS injections by means of a content security policy header it still remains vulnerable to the attacks summarized above.
RFD and file download injections,"Reflective file download occurs whenever an attacker can ""forge"" a download through misconfiguration in your ""disposition"" and ""content type"" headers. Instead of having the attacker to upload an evil file to the web server he can now force the browser to download a malicious file by abusing these headers and setting the file extension to any type he wants.  Now, whenever there is also userinput being reflected back into that download it can be used to forge evil attacks. The attacker can present an evil file to ignorant victim''s who are trusting the domain of which the download was presented from.  File download injection is a similar type of attack except this attack is made possible whenever there is userinput that is reflected into the ""filename="" parameter in the ""disposition"" header. The attacker again can force the browser to download a file with his own choice of extension and set the content of this file by injecting this directly into the response like filename=evil.bat%0A%0D%0A%0DinsertEvilStringHere  Whenever the user now opens the downloaded file the attacker can gain full control over the target’s device.","Reflective file download occurs whenever an attacker can ""forge"" a download through misconfiguration in your ""disposition"" and ""content type"" headers. Instead of having the attacker to upload an evil file to the web server he can now force the browser to download a malicious file by abusing these headers and setting the file extension to any type he wants.  Now, whenever there is also userinput being reflected back into that download it can be used to forge evil attacks. The attacker can present an evil file to ignorant victim''s who are trusting the domain of which the download was presented from.  File download injection is a similar type of attack except this attack is made possible whenever there is userinput that is reflected into the ""filename="" parameter in the ""disposition"" header. The attacker again can force the browser to download a file with his own choice of extension and set the content of this file by injecting this directly into the response like filename=evil.bat%0A%0D%0A%0DinsertEvilStringHere  Whenever the user now opens the downloaded file the attacker can gain full control over the target’s device."
Identify all application components,"When you are building an application you first want to map where you are placing source files, libraries and executables.  With these components identified and mapped, it becomes transparent where possible pitfalls might be in your application and increases the maintainability of the system. Also, you have an indicator where possible reinforcements have to be implemented to avoid attacks.(i.e places where your application contains executable''s)","When you are building an application you first want to map where you are placing source files, libraries and executables.  With these components identified and mapped, it becomes transparent where possible pitfalls might be in your application and increases the maintainability of the system. Also, you have an indicator where possible reinforcements have to be implemented to avoid attacks.(i.e places where your application contains executable''s)"
Identify external dependencies,Sometimes your application has certain external dependencies which may strongly influence your application''s operation. These external dependencies might become an attackers target since compromising that service might lead to a DoS of your system or influence the system in such a way it leaves room for other attacks.,Sometimes your application has certain external dependencies which may strongly influence your application''s operation. These external dependencies might become an attackers target since compromising that service might lead to a DoS of your system or influence the system in such a way it leaves room for other attacks.
High level architecture should be defined,"Whenever you are developing an application you want to map all the architecture it contains. Whenever there are breaches, updates, or other escalations it makes it easy and transparent for forensics, operators, and developers to do their job as fast as possible.","Whenever you are developing an application you want to map all the architecture it contains. Whenever there are breaches, updates, or other escalations it makes it easy and transparent for forensics, operators, and developers to do their job as fast as possible."
Threat modeling,"Threat modeling is a procedure for optimizing Network/ Application/ Internet Security by identifying objectives and vulnerabilities, and then defining countermeasures to prevent, or mitigate the effects of, threats to the system. A threat is a potential or actual undesirable event that may be malicious (such as DoS attack) or incidental (failure of a Storage Device). Threat modeling is a planned activity for identifying and assessing application threats and vulnerabilities.","Threat modeling is a procedure for optimizing Network/ Application/ Internet Security by identifying objectives and vulnerabilities, and then defining countermeasures to prevent, or mitigate the effects of, threats to the system. A threat is a potential or actual undesirable event that may be malicious (such as DoS attack) or incidental (failure of a Storage Device). Threat modeling is a planned activity for identifying and assessing application threats and vulnerabilities."
Differential analysis attack,"Whenever an attacker sends a request to the server, an example by means of authentication functionality. He can measure the average response time between a request containing a valid username and a request containing a invalid username. The attacker can now use this differential in response time to enumerate user accounts.","Whenever an attacker sends a request to the server, an example by means of authentication functionality. He can measure the average response time between a request containing a valid username and a request containing a invalid username. The attacker can now use this differential in response time to enumerate user accounts."
Client side input validation,"As web applications become more advanced, an increasing amount of HTML is generated by JavaScript on the clientside rather than by the server. Anytime content needs to be changed without refreshing the entire page, the update must be performed using JavaScript. Most notably, this is the case when a page is updated after an AJAX request.  XSS vulnerabilities can be present not only in your website''s serverside code, but also in your website''s clientside JavaScript code. Consequently, even with completely secure serverside code, the clientside code might still unsafely include user input in a DOM update after the page has loaded. If this happens, the clientside code has enabled an XSS attack through no fault of the serverside code.","As web applications become more advanced, an increasing amount of HTML is generated by JavaScript on the clientside rather than by the server. Anytime content needs to be changed without refreshing the entire page, the update must be performed using JavaScript. Most notably, this is the case when a page is updated after an AJAX request.  XSS vulnerabilities can be present not only in your website''s serverside code, but also in your website''s clientside JavaScript code. Consequently, even with completely secure serverside code, the clientside code might still unsafely include user input in a DOM update after the page has loaded. If this happens, the clientside code has enabled an XSS attack through no fault of the serverside code."
